Beer Name,Brewery,Beer Style,ABV
Grapefruit IPA,Perrin Brewing Co.,IPA - American,5
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7
Green Bullet,Green Flash Brewing Company,IPA - Triple,10.1
Greenhouse IPA,Hops & Grain Brewing,IPA - American,7.6
Guanabara,Cervejaria Colorado,Stout - Russian Imperial,10.5
Guinness Blonde American Lager,Guinness,Lager - Pale,5
Guinness Draught,Guinness,Stout - Irish Dry,4.3
Guinness Extra Stout (Canada / USA),Guinness,Stout - Irish Dry,5
Gulo Noir,Wolverine State Brewing Co.,Lager - Black,0
Habanero Sculpin,Ballast Point Brewing & Spirits,Chile Beer,7
Hans' Golden Tripel,Fenton Winery & Brewery,Other,0
Hard Root Beer,Coney Island Brewing Company,Root Beer,5.8
Harpoon Winter Warmer,Harpoon Brewery,Winter Warmer,5.9
"He'Brew Hanukkah, Chanukah (2014)",Shmaltz Brewing Company,Dark Ale,8
Head on Collision,Fenton Winery & Brewery,IPA - Black / Cascadian Dark Ale,8.5
Hell or High Watermelon,21st Amendment Brewery ,Fruit Beer,4.9
Hennepin Farmhouse Saison,Brewery Ommegang,Saison / Farmhouse Ale,7.7
Henry Weinhard's Woodland Pass IPA,Blitz-Weinhard Brewing Company,IPA - American,6
Hey Blackberry,Roak Brewing Co.,Fruit Beer,0
High Alpha,51 North Brewing Company,IPA - American,7.5
Hitch Hiker IPA,ThumbCoast Brewing Company,IPA - American,6.7
Hofbräu Oktoberfestbier,Staatliches Hofbräuhaus München,Festbier,6.3
Honey Blue Blue Cider,Tenacity Brewing,Cider,6
Honey BzZz,Acoustic Brewing Company,Mead,6
Hop Stoopid,Lagunitas Brewing Company,IPA - Imperial / Double,8
Hop Stout (Hop Kitchen),New Belgium Brewing Company,Stout - Imperial / Double,8
Hop Tart (Hop Kitchen),New Belgium Brewing Company,Sour Ale,5
Hop Zeppelin,B.O.B.'s Brewery,IPA - Black / Cascadian Dark Ale,5.6
Hop-A-Peel,Atwater Brewery,IPA - American,7.5
Hopmouth Double IPA,Arcadia Brewing Company (Arcadia Ales),IPA - Imperial / Double,8.1
Hopslam Ale,"Bell's Brewery, Inc.",IPA - Imperial / Double,10
Hotbox Brown Ale,Perrin Brewing Co.,Brown Ale - American,5.5
Hotto Chokoretto,Black Lotus Brewery,Porter - Other,5.5
Houblon Chouffe,Brasserie d'Achouffe,IPA - Belgian,9
How Do You Like Them Little Apples,Moonlight Meadery,Cider,6.9
Hulk-Roggen Bier,Griffin Claw Brewing Company,Roggenbier,5.5
Ichabod Ale,New Holland Brewing Company,Pumpkin / Yam Beer,5.2
Ichtegem's Grand Cru,Brouwerij Strubbe,Flanders Red Ale,6.5
Icy Bay IPA,Alaskan Brewing Co.,IPA - American,6.2
Ignescent Amber,Fenton Winery & Brewery,Red Ale - American Amber / Red,5.3
Illusive Traveler Grapefruit Shandy,Traveler Beer Co.,Pale Wheat Ale - American,4.4
Imperial Biscotti Break Natale Pretty Please With A Cherry On Top,Evil Twin Brewing,Porter - Imperial / Double,11.5
Imperial Black Saison,Ten Ninety Brewing Company,Saison / Farmhouse Ale,10.1
Imperial Cinnamon Hefeweizen,Cheboygan Brewing Company,Hefeweizen,7.9
Imperial Island Fever,Latitude 42 Brewing Company,Stout - Imperial / Double,8.4
Imperial Russian Stout,Stone Brewing Company,Stout - Russian Imperial,10.6
Imperial Witbier,Ten Ninety Brewing Company,Witbier,10.1
In-Heat Wheat,Flying Dog Brewery,Hefeweizen,4.7
Indispensable,Greenbush Brewing Company,IPA - American,8.2
Indra Kunindra,Ballast Point Brewing & Spirits,Stout - Foreign / Export,7
Inquisition Pale Ale,Dragonmead Microbrewery,Pale Ale - English,5.2
Insanity,Weyerbacher Brewing Company,Barleywine - English,11.1
Insanity (2014),Weyerbacher Brewing Company,Barleywine - English,11.1
IPA,Lagunitas Brewing Company,IPA - American,6.2
IPA (India Pale Ale),Arcadia Brewing Company (Arcadia Ales),IPA - American,6
Irish Breakfast Oatmeal Stout,Cranker's Brewery,Stout - Oatmeal,4.7
Irish Car Bomb Stout,B.O.B.'s Brewery,Stout - Other,0
Irish Creme Stout,The Hideout Brewing Company,Stout - Other,5.6
Irreverent Belgian Strong Ale,Kuhnhenn Brewing Company ,Belgian Strong Pale Ale,10
Island Fever,Latitude 42 Brewing Company,Stout - Milk / Sweet,4.5
Jackhammer Old Ale,ABC Brewpub,Old Ale,8.5
Jadis,Greenbush Brewing Company,Pale Wheat Ale - American,6.1
Japanese Green Tea IPA (Second Edition),Stone Brewing Company,IPA - American,10.1
Java Chip Mint Stout,Odd Side Ales,Stout - Other,6
Jesse's Party IPA,Odd Side Ales,IPA - American,6
Josh On The Beach,Odd Side Ales,IPA - American,6.25
Juicebox Hero,Greenbush Brewing Company,Pale Ale - American,6.3
Juicy Tree,Short's Brewing Company,IPA - American,7.5
K2 Strawberry Blonde,Dragonmead Microbrewery,Blonde Ale,4
Kasteel Cuvée du Château,Brouwerij Van Honsebrouck,Belgian Quad,11
Kasteel Donker,Brouwerij Van Honsebrouck,Belgian Quad,11
Kasteel Hoppy,Brouwerij Van Honsebrouck,Pale Ale - Belgian,6.5
Kasteel Rouge,Brouwerij Van Honsebrouck,Fruit Beer,8
Kein Lacheln Mein Nachbar,Against the Grain Brewery & Smokehouse (Kentucky),Kellerbier / Zwickelbier,6.5
Kentucky Breakfast Stout (KBS),Founders Brewing Co.,Stout - American Imperial / Double,11.2
Kill All The Golfers,B. Nektar Meadery,Mead,6
King Cobra Malt Liquor,Anheuser-Busch,Malt Liquor ,6
Kolsch 45,Short's Brewing Company,Kölsch,5
Kummerspeckfest,Against the Grain Brewery & Smokehouse (Kentucky),Märzen,6.5
Kurt's Apple Pie,Moonlight Meadery,Mead,14
La Résolution,Unibroue,Belgian Strong Dark Ale,10
Labatt Blue,Labatt Brewing Company,Lager - North American Adjunct,5
Labatt Blue Light,Labatt Brewing Company,Lager - American Light,4
Lambrucha,Vanberg & DeWulf,Lambic,3.5
Lapeer A.M.,Tilted Axis Brewing Company,Stout - Other,4.5
Latter Day Stout,Desert Edge Brewery,Stout - Irish Dry,4.2
